a,b,c,gamma,mu,LogLik,index
0.1,0.2,0.3,0.01,0.005,-17772.27210473777,51
0.1,0.247,0.3,0.01,0.005,-24803.688252577947,51
0.1,0.2,0.35600000000000004,0.01,0.005,-15660.190803169759,51
0.1,0.168,0.5264,0.01,0.005,-16595.880012254325,51
0.1,0.2,0.3,0.01,0.005,-9762.331029779254,52
0.1,0.247,0.3,0.01,0.005,-16711.726710495495,52
0.1,0.2,0.35600000000000004,0.01,0.005,-8095.40946277315,52
0.1,0.168,0.5264,0.01,0.005,-9910.677497604533,52
0.1,0.2,0.3,0.01,0.005,-11626.53416724656,53
0.1,0.168,0.3,0.01,0.005,-14699.756649181398,53
0.1,0.2,0.2424,0.01,0.005,-9095.554822947353,53
0.1,0.247,0.1856,0.01,0.005,-10764.048208725888,53
0.1,0.2,0.3,0.01,0.005,-8226.47038144237,54
0.1,0.168,0.3,0.01,0.005,-18374.722357071878,54
0.1,0.2,0.2992,0.01,0.005,-8231.51706164574,54
0.1,0.168,0.4696,0.01,0.005,-9118.160668740886,54
0.1,0.2,0.3,0.01,0.005,-9954.920514287513,55
0.1,0.168,0.3,0.01,0.005,-15335.79895980689,55
0.1,0.2,0.2424,0.01,0.005,-9786.164845434496,55
0.1,0.168,0.4128,0.01,0.005,-11359.149238823979,55
0.1,0.2,0.3,0.01,0.005,-13587.6444627213,56
0.1,0.168,0.3,0.01,0.005,-20385.283957174735,56
0.1,0.2,0.2992,0.01,0.005,-13595.698997298252,56
0.1,0.168,0.4696,0.01,0.005,-10522.00647566373,56
0.1,0.2,0.3,0.01,0.005,-24483.917401269526,57
0.1,0.168,0.3,0.01,0.005,-13130.570527054795,57
0.1,0.2,0.1856,0.01,0.005,-9262.224162375624,57
0.1,0.247,0.1288,0.01,0.005,-8773.24159412613,57
0.1,0.2,0.3,0.01,0.005,-6424.476784437984,58
0.1,0.168,0.3,0.01,0.005,-14547.69877914137,58
0.1,0.2,0.2992,0.01,0.005,-6402.628981601255,58
0.1,0.247,0.1856,0.01,0.005,-7219.793946291779,58
0.1,0.2,0.3,0.01,0.005,-12107.814979962186,59
0.1,0.168,0.3,0.01,0.005,-24463.28043078138,59
0.1,0.2,0.2992,0.01,0.005,-12092.820433511564,59
0.1,0.247,0.1856,0.01,0.005,-10790.535762134714,59
0.1,0.2,0.3,0.01,0.005,-8652.042028256254,60
0.1,0.168,0.3,0.01,0.005,-17752.24584020041,60
0.1,0.2,0.2992,0.01,0.005,-8648.110279453022,60
0.1,0.168,0.4696,0.01,0.005,-9797.830498235038,60
0.1,0.2,0.3,0.01,0.005,-8244.937939173646,61
0.1,0.247,0.3,0.01,0.005,-20852.09326192323,61
0.1,0.2,0.2992,0.01,0.005,-8267.487180301394,61
0.1,0.168,0.4696,0.01,0.005,-9096.957823145362,61
0.1,0.2,0.3,0.01,0.005,-10745.156129838551,62
0.1,0.168,0.3,0.01,0.005,-11624.808741606932,62
0.1,0.2,0.2424,0.01,0.005,-10579.630051022603,62
0.1,0.168,0.4128,0.01,0.005,-7084.099218916196,62
0.1,0.2,0.3,0.01,0.005,-14442.982301763961,63
0.1,0.247,0.3,0.01,0.005,-22624.75739073737,63
0.1,0.2,0.2992,0.01,0.005,-14460.947439586464,63
0.1,0.247,0.1856,0.01,0.005,-13950.387966975135,63
0.1,0.2,0.3,0.01,0.005,-13996.911946105321,64
