time,Ih,Ih_gil
0,1,1
1,1.1684166025180391,2.25
5,1.8270220358062765,3
6,2.0014657912819875,3
7,2.1823333530179925,2.5
8,2.369919558529867,2
9,2.564138764628798,3
11,2.9706119636345982,3
12,3.1813263067003086,4.333333333333333
13,3.3956846193596806,5
15,3.830535475828049,6.5
17,4.264948121709421,7
18,4.478736542630131,7
19,4.688602201840984,7
20,4.893423656840639,7
21,5.092197694022105,7
22,5.28405612134414,7.666666666666667
23,5.468276139952126,8
24,5.64428456962117,9
25,5.811656525022667,9
26,5.970109374557969,9
28,6.259777027141724,8.333333333333334
29,6.391037035681223,8
30,6.513438916283984,8
31,6.627223842598536,8
33,6.83019586632433,8
35,7.00285055016497,8
36,7.07882550351347,8
37,7.1484607434961145,8
39,7.270386562433295,8
40,7.323491092144091,8
41,7.371876218653513,8
42,7.415910240155993,8
43,7.4559423125617155,9
45,7.5252962918023485,8.5
46,7.55521467579819,7
47,7.582324354180966,6
48,7.606873347456605,5.75
50,7.649187487823725,5
52,7.683778536873205,5
53,7.698613262757643,5
54,7.712010299032093,5
55,7.72410521325164,6
56,7.735021501180624,6
57,7.744871525299872,6
58,7.753757407561964,6
59,7.761771872543185,6
60,7.768999038947417,6
61,7.775515158818984,7
63,7.786684007282254,7
64,7.791455841365212,7
65,7.795755968960697,7
67,7.803121624746534,6.25
68,7.806266676732494,6.5
70,7.811651952142553,6
71,7.813950688986428,7
72,7.816021117903689,8
73,7.817885825375485,6.75
74,7.819565180228378,7
75,7.821077548181522,6
76,7.822439486271169,7
77,7.823665918882344,8
78,7.8247702968608115,8.5
79,7.825764741847894,9
80,7.8266601764285495,9
81,7.827466441833157,9
82,7.828192404257905,8
83,7.828846050871469,8.666666666666666
84,7.829434576481699,9
85,7.829964461749322,8
86,7.830441543755587,8
87,7.830871079657222,8
88,7.831257804094261,9
89,7.831605980954601,9
90,7.831919450042478,8
91,7.832201669146394,8
92,7.832455751955166,8.5
93,7.832684502227767,9
94,7.832890444583901,9
95,7.833075852246815,9.75
96,7.833242772038001,9
97,7.833393046894163,9
98,7.833528336150692,9
99,7.833650133812193,9
100,7.833759785008674,9
101,7.833858500817034,9
102,7.833947371609518,9
103,7.834027379075061,8.666666666666666
104,7.83409940704513,8
106,7.834222628060219,8
107,7.83427518246615,7
109,7.834365088789335,7
110,7.834403434106542,7
111,7.834437954778939,8
112,7.834469032260221,8
113,7.834497009964203,7.5
114,7.834522197057395,8
115,7.834544871873633,7
116,7.83456528498838,7.6
117,7.834583661986642,8
118,7.834600205954905,8
119,7.834615099724722,8
120,7.834628507892569,8
121,7.834640578638388,8
122,7.834651445362744,8
123,7.834661228160807,8
124,7.834670035149306,8
125,7.834677963661193,8
126,7.834685101321165,8
127,7.834691527013948,8
128,7.834697311755966,8
129,7.834702519480167,8
130,7.834707207742502,8
131,7.8347114283579735,8.666666666666666
132,7.834715227973261,9
133,7.83471864858221,9
134,7.834721727989943,9
137,7.834729242712127,9
138,7.834731265367946,8
139,7.834733086265996,7
140,7.834734725531335,7
141,7.834736201281567,7
142,7.8347375298271285,7
143,7.834738725851507,6
145,7.834740771893512,7
146,7.83474164452464,7
147,7.834742430111567,7
148,7.834743137336827,8
149,7.834743774016967,8
150,7.834744347188777,8
151,7.834744863187125,8
152,7.834745327715064,8
153,7.834745745906712,8
156,7.834746766424595,6.666666666666667
157,7.834747041106052,6
158,7.834747288388232,6
159,7.834747511004143,6
163,7.834748200477535,5.5
164,7.834748332113236,6
165,7.834748450618376,6
166,7.834748557302718,6
167,7.834748653345378,6
168,7.834748739807853,5
169,7.834748817645695,3
170,7.834748887719252,3
171,7.8347489508030295,3
173,7.834749058720585,2
175,7.834749146182516,2
176,7.83474918348478,2
179,7.834749274513922,3.6666666666666665
180,7.834749299015218,4
181,7.834749321072528,4
182,7.834749340929642,4
185,7.834749389387179,4
186,7.834749402429955,4
189,7.834749434258388,4
190,7.834749442825293,4
191,7.834749450537654,5
192,7.834749457480713,5
193,7.834749463731208,4.5
194,7.8347494693582185,4
195,7.834749474423944,4
196,7.834749478984366,5
197,7.834749483089884,5
198,7.834749486785883,5
199,7.834749490113206,5.666666666666667
201,7.834749495805269,6
202,7.834749498232916,6
203,7.834749500418409,6
204,7.8347495023858995,6.666666666666667
206,7.834749505751691,5
207,7.834749507187189,5
208,7.834749508479499,4.5
209,7.834749509642904,4
210,7.834749510690258,4
211,7.834749511633145,5
212,7.834749512481976,4.5
213,7.834749513246133,4
214,7.834749513934068,4
215,7.834749514553378,5
216,7.834749515110918,5
217,7.83474951561284,5
218,7.834749516064698,5.75
219,7.834749516471483,6.666666666666667
221,7.83474951716737,8.833333333333334
222,7.834749517464163,9
223,7.834749517731353,9
224,7.834749517971895,9
225,7.834749518188441,9
226,7.834749518383387,9
227,7.83474951855889,9
228,7.834749518716881,8.25
229,7.834749518859113,9
230,7.834749518987158,9
232,7.8347495192062055,9
233,7.834749519299625,8.5
234,7.834749519383725,7
235,7.834749519459441,6.4
236,7.8347495195276045,7
237,7.834749519588967,8
238,7.834749519644212,8
239,7.8347495196939425,8
240,7.834749519738713,8
241,7.834749519779018,6.5
242,7.834749519815302,6
243,7.834749519847968,5.666666666666667
244,7.8347495198773744,5
246,7.834749519927683,6
248,7.834749519968455,7.2
249,7.834749519985846,8
250,7.8347495200015,9
251,7.834749520015595,9
252,7.834749520028283,8.666666666666666
253,7.834749520039704,8
254,7.834749520049986,8
255,7.834749520059241,8
257,7.834749520075076,7
258,7.834749520081829,7
259,7.834749520087907,7
260,7.834749520093381,7
261,7.834749520098307,7
262,7.834749520102742,7
263,7.834749520106735,7
264,7.83474952011033,7
265,7.834749520113567,6
267,7.834749520119101,6
269,7.834749520123589,5.5
271,7.834749520127227,5
272,7.834749520128779,5
273,7.8347495201301705,5
274,7.834749520131432,6
276,7.834749520133575,6
277,7.834749520134492,6
278,7.834749520135317,5
279,7.834749520136056,5.5
281,7.834749520137336,6
282,7.834749520137869,6
283,7.834749520138357,6
284,7.834749520138801,6
285,7.834749520139187,5.75
286,7.8347495201395425,5
287,7.834749520139878,5
291,7.834749520140839,5
292,7.834749520141017,5.5
293,7.8347495201411945,6
294,7.834749520141372,6
295,7.834749520141522,6
296,7.834749520141611,6
297,7.8347495201417,6.5
298,7.834749520141789,8
299,7.8347495201418775,8
300,7.834749520141966,8
301,7.834749520142055,8.75
302,7.834749520142144,7.5
303,7.834749520142233,7
304,7.834749520142322,7
305,7.834749520142327,7
307,7.834749520142327,7
308,7.834749520142327,7.75
309,7.834749520142327,8
311,7.834749520142327,8
312,7.834749520142327,8
313,7.834749520142327,8
314,7.834749520142327,7.5
315,7.834749520142327,8
316,7.834749520142327,7
317,7.834749520142327,7
318,7.834749520142327,8
319,7.834749520142327,8
320,7.834749520142327,8.666666666666666
321,7.834749520142327,9
322,7.834749520142327,8
323,7.834749520142327,7.4
324,7.834749520142327,7
325,7.834749520142327,7.666666666666667
327,7.834749520142327,8
328,7.834749520142327,8
330,7.834749520142327,7
331,7.834749520142327,7
332,7.834749520142327,7
334,7.834749520142327,7
335,7.834749520142327,6
336,7.834749520142327,6
338,7.834749520142327,6
339,7.834749520142327,6.75
340,7.834749520142327,7
342,7.834749520142327,7
343,7.834749520142327,7
344,7.834749520142327,7
345,7.834749520142327,7
346,7.834749520142327,8
347,7.834749520142327,7
349,7.834749520142327,6
351,7.834749520142327,6
352,7.834749520142327,5
355,7.834749520142327,5
356,7.834749520142327,5
357,7.834749520142327,4.5
359,7.834749520142327,5
360,7.834749520142327,5
361,7.834749520142327,4.333333333333333
362,7.834749520142327,5.5
364,7.834749520142327,4.666666666666667
365,7.834749520142327,5
366,7.834749520142327,5
368,7.834749520142327,5
371,7.834749520142327,5
372,7.834749520142327,6
373,7.834749520142327,7
374,7.834749520142327,7
375,7.834749520142327,6
376,7.834749520142327,6
377,7.834749520142327,6
379,7.834749520142327,7
381,7.834749520142327,7
382,7.834749520142327,7
383,7.834749520142327,8
384,7.834749520142327,8
385,7.834749520142327,7.75
386,7.834749520142327,6.333333333333333
388,7.834749520142327,6
389,7.834749520142327,7
390,7.834749520142327,7.5
391,7.834749520142327,8
392,7.834749520142327,8
393,7.834749520142327,8
395,7.834749520142327,8
396,7.834749520142327,7
397,7.834749520142327,7
398,7.834749520142327,8
399,7.834749520142327,7
400,7.834749520142327,8
401,7.834749520142327,9
402,7.834749520142327,9
403,7.834749520142327,9
405,7.834749520142327,8
406,7.834749520142327,8
407,7.834749520142327,8
408,7.834749520142327,8
409,7.834749520142327,8
410,7.834749520142327,8.666666666666666
412,7.834749520142327,9
413,7.834749520142327,9
414,7.834749520142327,9.25
415,7.834749520142327,10
416,7.834749520142327,9.5
417,7.834749520142327,9
418,7.834749520142327,9
419,7.834749520142327,9
420,7.834749520142327,9
421,7.834749520142327,9
423,7.834749520142327,9
425,7.834749520142327,9.5
426,7.834749520142327,9
427,7.834749520142327,9
428,7.834749520142327,9.333333333333334
429,7.834749520142327,8.5
430,7.834749520142327,9
431,7.834749520142327,9
432,7.834749520142327,9
433,7.834749520142327,9.4
434,7.834749520142327,9
436,7.834749520142327,9
437,7.834749520142327,8
438,7.834749520142327,9
439,7.834749520142327,9
440,7.834749520142327,9
442,7.834749520142327,9
443,7.834749520142327,8.75
444,7.834749520142327,8.75
446,7.834749520142327,9
447,7.834749520142327,9
448,7.834749520142327,9
450,7.834749520142327,10
451,7.834749520142327,10
452,7.834749520142327,8.333333333333334
453,7.834749520142327,8
454,7.834749520142327,8
455,7.834749520142327,8
456,7.834749520142327,8
457,7.834749520142327,8
458,7.834749520142327,9
461,7.834749520142327,9
462,7.834749520142327,8.333333333333334
464,7.834749520142327,8
465,7.834749520142327,8
466,7.834749520142327,9
467,7.834749520142327,9
468,7.834749520142327,8
469,7.834749520142327,8
470,7.834749520142327,8
471,7.834749520142327,8
472,7.834749520142327,8
473,7.834749520142327,8
474,7.834749520142327,8
475,7.834749520142327,8.5
477,7.834749520142327,9
478,7.834749520142327,8.666666666666666
479,7.834749520142327,10
481,7.834749520142327,10
482,7.834749520142327,10
483,7.834749520142327,9
484,7.834749520142327,8
485,7.834749520142327,8
486,7.834749520142327,8
487,7.834749520142327,8
488,7.834749520142327,7.5
489,7.834749520142327,8
490,7.834749520142327,8
491,7.834749520142327,8
492,7.834749520142327,8
493,7.834749520142327,8
494,7.834749520142327,8
495,7.834749520142327,7.5
496,7.834749520142327,5.5
497,7.834749520142327,5
498,7.834749520142327,5
499,7.834749520142327,5.5
500,7.834749520142327,5.5
501,7.834749520142327,6
502,7.834749520142327,6
504,7.834749520142327,6
505,7.834749520142327,5
506,7.834749520142327,4
507,7.834749520142327,4
510,7.834749520142327,3
511,7.834749520142327,4
512,7.834749520142327,4
513,7.834749520142327,4
514,7.834749520142327,5.666666666666667
515,7.834749520142327,6
516,7.834749520142327,6
518,7.834749520142327,6
519,7.834749520142327,6
520,7.834749520142327,6
521,7.834749520142327,4.5
522,7.834749520142327,4
525,7.834749520142327,5.142857142857143
526,7.834749520142327,6
528,7.834749520142327,6.2
529,7.834749520142327,7
530,7.834749520142327,7.75
531,7.834749520142327,8
532,7.834749520142327,8
533,7.834749520142327,7.333333333333333
534,7.834749520142327,7
535,7.834749520142327,7
536,7.834749520142327,7
537,7.834749520142327,7
538,7.834749520142327,6.6
539,7.834749520142327,5
540,7.834749520142327,5
541,7.834749520142327,5.5
543,7.834749520142327,5.25
544,7.834749520142327,7.333333333333333
545,7.834749520142327,7
546,7.834749520142327,7
547,7.834749520142327,7
548,7.834749520142327,7
