a,b,c,gamma,mu,LogLik
0.55,0.405,0.356,0.0275,0.19,0
0.55,0.405,0.356,0.0275,0.19,-18502.21522123001
0.5499999999999999,0.405,0.356,0.0275,0.19,-18502.21522123001
0.55,0.405,0.356,0.0275,0.19,-18502.21522123001
0.9999999999999999,0.168,0.356,0.0275,0.19,-17807.532450166702
0.55,0.405,0.4128,0.0275,0.19,-18174.87554004122
0.45999999999999996,0.405,0.64,0.0275,0.19,-17737.02742744052
0.55,0.326,0.5831999999999999,0.0275,0.19,-17735.51733434658
0.55,0.405,0.356,0.0275,0.19,-18502.21522123001
0.64,0.405,0.356,0.0365,0.19,-18134.302958170272
0.55,0.484,0.356,0.031999999999999994,0.19,-17790.758372043656
0.55,0.405,0.4696,0.031999999999999994,0.19,-17807.185540954757
0.55,0.405,0.356,0.0275,0.19,-18502.21522123001
0.64,0.405,0.356,0.0275,0.274,-17837.09976884006
0.55,0.5630000000000001,0.356,0.0275,0.33,-17814.45477621005
0.55,0.405,0.5264,0.0275,0.274,-17740.079188781267
0.55,0.405,0.356,0.04549999999999999,0.05,-17880.811185693816
